No.,Time,Source,Destination,Protocol,Length,Info,attack
50,1.190569782,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 51746; Unit:   1, Func:   6: Write Single Register",0
51,1.190804056,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 51746; Unit:   1, Func:   6: Write Single Register",0
52,1.191265647,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 40959; Unit:   1, Func:   6: Write Single Register",0
53,1.191591251,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 40959; Unit:   1, Func:   6: Write Single Register",0
54,1.192203791,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 40925; Unit:   1, Func:   6: Write Single Register",0
55,1.192432118,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 40925; Unit:   1, Func:   6: Write Single Register",0
56,1.192925821,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  1933; Unit:   1, Func:   6: Write Single Register",0
57,1.193128,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  1933; Unit:   1, Func:   6: Write Single Register",0
58,1.193632649,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 40791; Unit:   1, Func:   6: Write Single Register",0
59,1.19393711,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 40791; Unit:   1, Func:   6: Write Single Register",0
60,1.236104654,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=289 Ack=317 Win=64256 Len=0 TSval=4162633793 TSecr=2257473275,0
61,1.533494206,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  5435; Unit:   1, Func:   3: Read Holding Registers",0
62,1.534208293,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans:  5435; Unit:   1, Func:   3: Read Holding Registers",0
63,1.534880859,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=301 Ack=336 Win=64256 Len=0 TSval=4162634091 TSecr=2257473615,0
64,1.53512103,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:   327; Unit:   1, Func:   6: Write Single Register",0
65,1.535636564,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:   327; Unit:   1, Func:   6: Write Single Register",0
66,1.536356378,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 63226; Unit:   1, Func:   6: Write Single Register",0
67,1.536745688,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 63226; Unit:   1, Func:   6: Write Single Register",0
68,1.537229973,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 29163; Unit:   1, Func:   6: Write Single Register",0
69,1.537660006,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 29163; Unit:   1, Func:   6: Write Single Register",0
70,1.53805752,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 53893; Unit:   1, Func:   6: Write Single Register",0
71,1.538449109,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 53893; Unit:   1, Func:   6: Write Single Register",0
72,1.538894151,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 39704; Unit:   1, Func:   6: Write Single Register",0
73,1.539242794,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 39704; Unit:   1, Func:   6: Write Single Register",0
74,1.581079415,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=361 Ack=396 Win=64256 Len=0 TSval=4162634138 TSecr=2257473620,0
75,2.043055577,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  9189; Unit:   1, Func:   3: Read Holding Registers",0
76,2.043788051,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans:  9189; Unit:   1, Func:   3: Read Holding Registers",0
77,2.044256708,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=373 Ack=415 Win=64256 Len=0 TSval=4162634601 TSecr=2257474125,0
78,2.044491163,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 65375; Unit:   1, Func:   6: Write Single Register",0
79,2.045014097,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 65375; Unit:   1, Func:   6: Write Single Register",0
80,2.045394243,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 26020; Unit:   1, Func:   6: Write Single Register",0
81,2.045839934,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 26020; Unit:   1, Func:   6: Write Single Register",0
82,2.046221708,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  9979; Unit:   1, Func:   6: Write Single Register",0
83,2.046514467,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  9979; Unit:   1, Func:   6: Write Single Register",0
84,2.04687288,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 59230; Unit:   1, Func:   6: Write Single Register",0
85,2.04707734,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 59230; Unit:   1, Func:   6: Write Single Register",0
86,2.047578682,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 36359; Unit:   1, Func:   6: Write Single Register",0
87,2.047846232,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 36359; Unit:   1, Func:   6: Write Single Register",0
88,2.091976313,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=433 Ack=475 Win=64256 Len=0 TSval=4162634649 TSecr=2257474129,0
89,2.46323735,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 17395; Unit:   1, Func:   3: Read Holding Registers",0
90,2.463884258,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 17395; Unit:   1, Func:   3: Read Holding Registers",0
91,2.464351158,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=445 Ack=494 Win=64256 Len=0 TSval=4162635021 TSecr=2257474545,0
92,2.464527516,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 11124; Unit:   1, Func:   6: Write Single Register",0
93,2.464971081,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 11124; Unit:   1, Func:   6: Write Single Register",0
94,2.465421211,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 39026; Unit:   1, Func:   6: Write Single Register",0
95,2.465882291,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 39026; Unit:   1, Func:   6: Write Single Register",0
96,2.46641347,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  2161; Unit:   1, Func:   6: Write Single Register",0
97,2.466788942,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  2161; Unit:   1, Func:   6: Write Single Register",0
98,2.467374162,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 49614; Unit:   1, Func:   6: Write Single Register",0
99,2.467710163,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 49614; Unit:   1, Func:   6: Write Single Register",0
100,2.468276142,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  6489; Unit:   1, Func:   6: Write Single Register",0
101,2.468532234,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  6489; Unit:   1, Func:   6: Write Single Register",0
102,2.511821382,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=505 Ack=554 Win=64256 Len=0 TSval=4162635069 TSecr=2257474549,0
103,2.872913143,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 52065; Unit:   1, Func:   3: Read Holding Registers",0
104,2.873688876,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 52065; Unit:   1, Func:   3: Read Holding Registers",0
105,2.87415646,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=517 Ack=573 Win=64256 Len=0 TSval=4162635431 TSecr=2257474955,0
106,2.874441666,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 32818; Unit:   1, Func:   6: Write Single Register",0
107,2.874777283,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 32818; Unit:   1, Func:   6: Write Single Register",0
108,2.875382783,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 14000; Unit:   1, Func:   6: Write Single Register",0
109,2.875630015,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 14000; Unit:   1, Func:   6: Write Single Register",0
110,2.87599143,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 37077; Unit:   1, Func:   6: Write Single Register",0
111,2.876265795,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 37077; Unit:   1, Func:   6: Write Single Register",0
112,2.876603217,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 33928; Unit:   1, Func:   6: Write Single Register",0
113,2.876844374,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 33928; Unit:   1, Func:   6: Write Single Register",0
114,2.877376472,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 31868; Unit:   1, Func:   6: Write Single Register",0
115,2.87760857,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 31868; Unit:   1, Func:   6: Write Single Register",0
116,2.91970559,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=577 Ack=633 Win=64256 Len=0 TSval=4162635477 TSecr=2257474959,0
117,3.178766441,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 22289; Unit:   1, Func:   3: Read Holding Registers",0
118,3.179754561,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 22289; Unit:   1, Func:   3: Read Holding Registers",0
119,3.180226211,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=589 Ack=652 Win=64256 Len=0 TSval=4162635737 TSecr=2257475261,0
120,3.18052043,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 61153; Unit:   1, Func:   6: Write Single Register",0
121,3.180792298,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 61153; Unit:   1, Func:   6: Write Single Register",0
122,3.181238142,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 62097; Unit:   1, Func:   6: Write Single Register",0
123,3.181481608,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 62097; Unit:   1, Func:   6: Write Single Register",0
124,3.181928415,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 14091; Unit:   1, Func:   6: Write Single Register",0
125,3.182212715,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 14091; Unit:   1, Func:   6: Write Single Register",0
126,3.182724885,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 57588; Unit:   1, Func:   6: Write Single Register",0
127,3.18299575,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 57588; Unit:   1, Func:   6: Write Single Register",0
128,3.183687638,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 50293; Unit:   1, Func:   6: Write Single Register",0
129,3.183937032,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 50293; Unit:   1, Func:   6: Write Single Register",0
130,3.227853595,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=649 Ack=712 Win=64256 Len=0 TSval=4162635785 TSecr=2257475265,0
131,3.406826875,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 39454; Unit:   1, Func:   3: Read Holding Registers",0
132,3.407388953,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 39454; Unit:   1, Func:   3: Read Holding Registers",0
133,3.407852273,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=661 Ack=731 Win=64256 Len=0 TSval=4162635965 TSecr=2257475488,0
134,3.408205777,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 19367; Unit:   1, Func:   6: Write Single Register",0
135,3.408599278,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 19367; Unit:   1, Func:   6: Write Single Register",0
136,3.409038842,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 59727; Unit:   1, Func:   6: Write Single Register",0
137,3.409319468,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 59727; Unit:   1, Func:   6: Write Single Register",0
138,3.40982109,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 65099; Unit:   1, Func:   6: Write Single Register",0
139,3.410091589,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 65099; Unit:   1, Func:   6: Write Single Register",0
140,3.410460729,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 40937; Unit:   1, Func:   6: Write Single Register",0
141,3.410669414,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 40937; Unit:   1, Func:   6: Write Single Register",0
142,3.411298568,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 14492; Unit:   1, Func:   6: Write Single Register",0
143,3.411611224,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 14492; Unit:   1, Func:   6: Write Single Register",0
144,3.455350475,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=721 Ack=791 Win=64256 Len=0 TSval=4162636013 TSecr=2257475493,0
145,3.716035277,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  2725; Unit:   1, Func:   3: Read Holding Registers",0
146,3.716654249,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans:  2725; Unit:   1, Func:   3: Read Holding Registers",0
147,3.717934006,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=733 Ack=810 Win=64256 Len=0 TSval=4162636275 TSecr=2257475798,0
148,3.717934058,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 26750; Unit:   1, Func:   6: Write Single Register",0
149,3.719968006,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 26750; Unit:   1, Func:   6: Write Single Register",0
150,3.720403904,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 39061; Unit:   1, Func:   6: Write Single Register",0
151,3.720989899,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 39061; Unit:   1, Func:   6: Write Single Register",0
152,3.721447231,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 59387; Unit:   1, Func:   6: Write Single Register",0
153,3.72165544,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 59387; Unit:   1, Func:   6: Write Single Register",0
154,3.722216445,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 29639; Unit:   1, Func:   6: Write Single Register",0
155,3.722445056,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 29639; Unit:   1, Func:   6: Write Single Register",0
156,3.72288646,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 16816; Unit:   1, Func:   6: Write Single Register",0
157,3.723114518,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 16816; Unit:   1, Func:   6: Write Single Register",0
158,3.767193149,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=793 Ack=870 Win=64256 Len=0 TSval=4162636325 TSecr=2257475804,0
159,4.025668282,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 21047; Unit:   1, Func:   3: Read Holding Registers",0
160,4.026161088,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 21047; Unit:   1, Func:   3: Read Holding Registers",0
161,4.026567265,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=805 Ack=889 Win=64256 Len=0 TSval=4162636584 TSecr=2257476107,0
162,4.026909495,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 33142; Unit:   1, Func:   6: Write Single Register",0
163,4.027262641,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 33142; Unit:   1, Func:   6: Write Single Register",0
164,4.027848718,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 63975; Unit:   1, Func:   6: Write Single Register",0
165,4.028095036,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 63975; Unit:   1, Func:   6: Write Single Register",0
166,4.028693731,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 47605; Unit:   1, Func:   6: Write Single Register",0
167,4.028934059,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 47605; Unit:   1, Func:   6: Write Single Register",0
168,4.029528416,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 31577; Unit:   1, Func:   6: Write Single Register",0
169,4.029755126,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 31577; Unit:   1, Func:   6: Write Single Register",0
170,4.030403603,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 48224; Unit:   1, Func:   6: Write Single Register",0
171,4.030650758,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 48224; Unit:   1, Func:   6: Write Single Register",0
172,4.075449386,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=865 Ack=949 Win=64256 Len=0 TSval=4162636633 TSecr=2257476112,0
173,4.445545078,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 44705; Unit:   1, Func:   3: Read Holding Registers",0
174,4.44604517,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 44705; Unit:   1, Func:   3: Read Holding Registers",0
175,4.44660792,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=877 Ack=968 Win=64256 Len=0 TSval=4162637004 TSecr=2257476527,0
176,4.446895513,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 63737; Unit:   1, Func:   6: Write Single Register",0
177,4.447290042,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 63737; Unit:   1, Func:   6: Write Single Register",0
178,4.447685575,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 52166; Unit:   1, Func:   6: Write Single Register",0
179,4.44793225,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 52166; Unit:   1, Func:   6: Write Single Register",0
180,4.448379843,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  7634; Unit:   1, Func:   6: Write Single Register",0
181,4.448596174,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans:  7634; Unit:   1, Func:   6: Write Single Register",0
182,4.449109817,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 42997; Unit:   1, Func:   6: Write Single Register",0
183,4.449355579,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 42997; Unit:   1, Func:   6: Write Single Register",0
184,4.449885194,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 64501; Unit:   1, Func:   6: Write Single Register",0
185,4.450135513,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 64501; Unit:   1, Func:   6: Write Single Register",0
186,4.490920579,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=937 Ack=1028 Win=64256 Len=0 TSval=4162637049 TSecr=2257476531,0
187,4.767522071,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 33424; Unit:   1, Func:   3: Read Holding Registers",0
188,4.768011129,192.168.56.112,192.168.56.113,Modbus/TCP,85,"Response: Trans: 33424; Unit:   1, Func:   3: Read Holding Registers",0
189,4.768354551,192.168.56.113,192.168.56.112,TCP,66,40612  >  502 [ACK] Seq=949 Ack=1047 Win=64256 Len=0 TSval=4162637326 TSecr=2257476849,0
190,4.768649511,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans: 53974; Unit:   1, Func:   6: Write Single Register",0
191,4.768916089,192.168.56.112,192.168.56.113,Modbus/TCP,78,"Response: Trans: 53974; Unit:   1, Func:   6: Write Single Register",0
192,4.769260957,192.168.56.113,192.168.56.112,Modbus/TCP,78,"   Query: Trans:  2917; Unit:   1, Func:   6: Write Single Register",0
